paid,year,country,ccode1,ccode2,PrevAgmt,PrevAgmt_Bin,Lgt,post_1990,post_2005
24,2015,South Sudan,SSU,SSD,3,1,15,1,1
28,2015,South Sudan,SSU,SSD,4,1,6,1,1
29,2015,South Sudan,SSU,SSD,5,1,75,1,1
30,2015,Mali,MLI,MLI,5,1,25,1,1
31,2012,South Sudan,SSU,SSD,0,0,4,1,1
1002,1993,Rwanda,RWA,RWA,6,1,101,1,0
1003,2000,Burundi,BUI,BDI,1,1,93,1,0
1004,1999,DR Congo ,ZAI,COD,0,0,30,1,0
1005,2002,DR Congo ,ZAI,COD,3,1,20,1,0
1008,2000,Eritrea ,ERI,ERI,1,1,10,1,0
1009,1994,Djibouti,DJI,DJI,0,0,5,1,0
1010,2000,Djibouti,DJI,DJI,1,1,3,1,0
1011,1996,Sierra Leone,SIE,SLE,0,0,11,1,0
1013,1999,Sierra Leone,SIE,SLE,1,1,28,1,0
1014,1991,Liberia,LBR,LBR,3,1,5,1,0
1015,1993,Liberia,LBR,LBR,6,1,11,1,0
1016,1994,Liberia,LBR,LBR,7,1,7,1,0
1017,1995,Liberia,LBR,LBR,9,1,5,1,0
1018,1996,Liberia,LBR,LBR,10,1,2,1,0
1019,1998,Guinea Bissau,GNB,GNB,0,0,2,1,0
1020,1992,Mozambique,MZM,MOZ,6,1,55,1,0
1021,1989,Angola,ANG,AGO,0,0,2,0,0
1022,1991,Angola,ANG,AGO,1,1,2,1,0
1023,1994,Angola,ANG,AGO,2,1,66,1,0
1024,2000,Comoros,COM,COM,1,1,3,1,0
1025,2001,Comoros,COM,COM,2,1,6,1,0
1026,1999,"Congo, Rep.",CON,COG,1,1,5,1,0
1036,1993,Niger,NIR,NER,0,0,,1,0
1037,1994,Niger,NIR,NER,0,0,4,1,0
1038,1995,Niger,NIR,NER,1,1,9,1,0
1039,1991,Mali,MLI,MLI,0,0,2,1,0
1040,1992,Mali,MLI,MLI,2,1,2,1,0
1041,1991,Mali,MLI,MLI,1,1,,1,0
1042,1992,Chad,CHA,TCD,3,1,,1,0
1043,1993,Chad,CHA,TCD,4,1,,1,0
1044,1994,Chad,CHA,TCD,5,1,,1,0
1045,1997,Chad,CHA,TCD,8,1,,1,0
1046,1998,Chad,CHA,TCD,9,1,,1,0
1049,2002,Chad,CHA,TCD,11,1,2,1,0
1050,1993,Somalia,SOM,SOM,9,1,6,1,0
1057,1997,Bangladesh,BNG,BGD,0,0,14,1,0
1058,1995,Philippines,PHI,PHL,0,0,7,1,0
1060,1997,Somalia,SOM,SOM,11,1,9,1,0
1062,1991,Liberia,LBR,LBR,4,1,5,1,0
1063,1998,United Kingdom,UKG,GBR,0,0,60,1,0
1064,1996,Philippines,PHI,PHL,3,1,35,1,0
1065,2002,Burundi,BUI,BDI,2,1,12,1,0
1066,1993,Haiti,HAI,HTI,0,0,2,1,0
1069,1991,Serbia ,SER,SRB,0,0,3,1,0
1070,1996,Mexico,MEX,MEX,1,1,11,1,0
1071,1993,India,IND,IND,0,0,6,1,0
1072,1994,Bosnia and Herzegovina,BOS,BIH,1,1,19,1,0
1073,1995,Bosnia and Herzegovina,BOS,BIH,4,1,149,1,0
1074,1995,Croatia,CRO,HRV,0,0,3,1,0
1075,1990,Liberia,LBR,LBR,1,1,1,1,0
1076,1991,Papua New Guinea,PNG,PNG,1,1,4,1,0
1078,1994,Papua New Guinea,PNG,PNG,2,1,2,1,0
1079,1991,Colombia,COL,COL,6,1,16,1,0
1080,2001,Papua New Guinea,PNG,PNG,8,1,81,1,0
1081,1996,Guatemala,GUA,GTM,13,1,6,1,0
1082,1990,Guatemala,GUA,GTM,0,0,3,1,0
1083,1991,Guatemala,GUA,GTM,1,1,5,1,0
1084,1991,Guatemala,GUA,GTM,2,1,13,1,0
1085,1994,Guatemala,GUA,GTM,3,1,6,1,0
1086,1994,Guatemala,GUA,GTM,4,1,3,1,0
1087,1994,Guatemala,GUA,GTM,4,1,10,1,0
1088,1994,Guatemala,GUA,GTM,5,1,10,1,0
1089,1994,Guatemala,GUA,GTM,6,1,4,1,0
1090,1995,Guatemala,GUA,GTM,7,1,19,1,0
1091,1996,Guatemala,GUA,GTM,8,1,30,1,0
1092,1996,Guatemala,GUA,GTM,9,1,21,1,0
1093,1996,Guatemala,GUA,GTM,10,1,7,1,0
1094,1996,Guatemala,GUA,GTM,11,1,12,1,0
1095,1996,Guatemala,GUA,GTM,12,1,12,1,0
1097,1996,Guatemala,GUA,GTM,13,1,36,1,0
1098,2001,Macedonia,MAC,MAC,0,0,11,1,0
1099,2003,Burundi,BUI,BDI,5,1,4,1,0
1100,1990,Liberia,LBR,LBR,2,1,1,1,0
1101,2003,Liberia,LBR,LBR,12,1,40,1,0
1102,1990,El Salvador,SAL,SLV,0,0,3,1,0
1103,1990,El Salvador,SAL,SLV,1,1,4,1,0
1104,1990,El Salvador,SAL,SLV,2,1,6,1,0
1105,1991,El Salvador,SAL,SLV,3,1,18,1,0
1106,1991,El Salvador,SAL,SLV,4,1,7,1,0
1107,1991,El Salvador,SAL,SLV,4,1,3,1,0
1108,1991,El Salvador,SAL,SLV,5,1,2,1,0
1109,1992,El Salvador,SAL,SLV,6,1,1,1,0
1110,1992,El Salvador,SAL,SLV,6,1,70,1,0
1111,2002,Indonesia,INS,IDN,1,1,6,1,0
1113,1991,Cambodia ,CAM,KHM,0,0,2,1,0
1116,1994,Chad,CHA,TCD,6,1,,1,0
1117,1995,Chad,CHA,TCD,7,1,,1,0
1118,1999,Chad,CHA,TCD,10,1,,1,0
1119,1997,Tajikistan,TAJ,TJK,7,1,7,1,0
1120,2002,Colombia,COL,COL,13,1,6,1,0
1121,1993,India,IND,IND,6,1,4,1,0
1122,2001,Colombia,COL,COL,11,1,2,1,0
1123,1997,Moldova,MLD,MDA,0,0,2,1,0
1125,1998,Ecuador ,ECU,ECU,0,0,2,1,0
1126,2002,Angola,ANG,AGO,3,1,65,1,0
1127,2003,Comoros,COM,COM,3,1,8,1,0
1128,1993,Afghanistan,AFG,AFG,1,1,7,1,0
1130,1994,Georgia,GRG,GEO,3,1,2,1,0
1131,1996,Afghanistan,AFG,AFG,3,1,,1,0
1132,1993,Afghanistan,AFG,AFG,2,1,,1,0
1133,1993,Israel,ISR,ISR,0,0,18,1,0
1134,1994,Israel,ISR,ISR,1,1,12,1,0
1135,1994,Israel,ISR,ISR,2,1,27,1,0
1136,1995,Israel,ISR,ISR,4,1,31,1,0
1137,1997,Israel,ISR,ISR,5,1,9,1,0
1138,1998,Israel,ISR,ISR,6,1,9,1,0
1139,2003,Cote dIvoire,IVO,CIV,0,0,12,1,0
1140,1999,Israel,ISR,ISR,7,1,5,1,0
1141,2003,Liberia,LBR,LBR,11,1,4,1,0
1142,1994,Somalia,SOM,SOM,10,1,2,1,0
1143,2000,Sierra Leone,SIE,SLE,2,1,5,1,0
1144,1995,Tajikistan,TAJ,TJK,0,0,3,1,0
1145,2002,Uganda,UGA,UGA,2,1,11,1,0
1146,2001,Djibouti,DJI,DJI,2,1,9,1,0
1147,1996,Tajikistan,TAJ,TJK,1,1,5,1,0
1273,2005,Cote dIvoire,IVO,CIV,3,1,7,1,1
1274,2005,Chad,CHA,TCD,12,1,,1,1
1276,2005,Indonesia,INS,IDN,2,1,7,1,1
1277,2002,Sudan,SUD,SDN,1,1,9,1,0
1278,2003,Sudan,SUD,SDN,4,1,4,1,0
1279,2004,Sudan,SUD,SDN,6,1,63,1,0
1280,2004,Sudan,SUD,SDN,6,1,9,1,0
1281,2004,Sudan,SUD,SDN,6,1,18,1,0
1282,2005,Sudan,SUD,SDN,10,1,245,1,1
1283,2004,Cote dIvoire,IVO,CIV,2,1,7,1,0
1284,2004,Senegal,SEN,SEN,0,0,3,1,0
1285,2003,Burundi,BUI,BDI,4,1,4,1,0
1287,2003,Burundi,BUI,BDI,3,1,6,1,0
1288,2001,DR Congo ,ZAI,COD,1,1,3,1,0
1289,2003,DR Congo ,ZAI,COD,4,1,60,1,0
1290,2003,DR Congo ,ZAI,COD,5,1,95,1,0
1291,2002,DR Congo ,ZAI,COD,2,1,9,1,0
1292,2003,Cote dIvoire,IVO,CIV,1,1,2,1,0
1299,1994,Liberia,LBR,LBR,8,1,4,1,0
1300,1992,Liberia,LBR,LBR,5,1,3,1,0
1301,1990,Liberia,LBR,LBR,0,0,2,1,0
1302,1991,Mozambique,MZM,MOZ,2,1,2,1,0
1303,1991,Mozambique,MZM,MOZ,3,1,4,1,0
1306,1992,Mozambique,MZM,MOZ,4,1,7,1,0
1307,1992,Mozambique,MZM,MOZ,5,1,4,1,0
1308,1991,Mozambique,MZM,MOZ,1,1,2,1,0
1310,2004,Sudan,SUD,SDN,5,1,19,1,0
1312,1997,Tajikistan,TAJ,TJK,3,1,5,1,0
1313,1997,Tajikistan,TAJ,TJK,2,1,2,1,0
1315,1997,Tajikistan,TAJ,TJK,5,1,2,1,0
1317,1997,Tajikistan,TAJ,TJK,6,1,4,1,0
1318,1997,Tajikistan,TAJ,TJK,4,1,7,1,0
1320,1991,Rwanda,RWA,RWA,0,0,8,1,0
1321,1992,Rwanda,RWA,RWA,1,1,7,1,0
1322,1993,Rwanda,RWA,RWA,3,1,13,1,0
1323,1993,Rwanda,RWA,RWA,4,1,15,1,0
1324,1993,Rwanda,RWA,RWA,5,1,100,1,0
1325,1993,Rwanda,RWA,RWA,5,1,11,1,0
1328,2001,Colombia,COL,COL,12,1,4,1,0
1329,1999,Colombia,COL,COL,9,1,4,1,0
1332,2001,Philippines,PHI,PHL,4,1,4,1,0
1333,2006,Cameroon ,CAO,CMR,0,0,5,1,1
1334,2006,Sudan,SUD,SDN,14,1,115,1,1
