"ccode","year","paid","region","pa_name","conflict_id","conflict_name","actor_id","actor_name","pa_date","duration","ended","ddr","locgov","justice_prov","pko","inclusive","economic_dummy_vSum22","funds_dummy_vSum22","inclusive_dummy_vSum22","tp_excombatant_vSum22","agency_binary","tp_security_vSum22","tp_all_vSum22","tp_categorical_vSum22","censored","duration_in_days","conflict_start_date","conflict_end_date","totoday","duration_conflict","intensity_level","cumulative_intensity","type_of_conflict","country","ccode1","PrevAgmt","PrevAgmt_Bin","post_1990","post_2005","CountryName","COWcode","RefugeePop_origin","GDP_PPP","RefugeePop_asylum","develassistance","develassistance_aid","Lgt","v2x_polyarchy","v2x_libdem","v2x_delibdem","v2x_egaldem","IMF","corruption_percentile","ROL_percentile","ROL_estimate","voiceaccount_sources","log_PrevAgmt","log_RefugeePop_origin","log_GDP_PPP","log_RefugeePop_asylum","log_develassistance","log_develassistance_aid","log_Lgt","log_IMF","log_v2x_polyarchy","log_v2x_libdem","log_v2x_delibdem","log_v2x_egaldem","log_corruption_percentile","log_ROL_percentile","log_ROL_estimate","log_voiceaccount_sources","full_int","total_int","contype_3","contype_4","contype_2","ifeconint_treat","PC1","PC2","PC3","PC4","PC5","Eps","EpsRes","EpsFis","HrSec","Dev","DevSoc","DevInfra","NEC","ImPK","ImE","SerProp","SerOth","DevHum","IntFu","Tax","BanPers","BanInt","total_prov","total_implem_points","agg_implem_score","demob_implem","demob_revers","develop_prov","develop_iplem","develop_revers","total_prov_count_PAM","total_implem_points_count","agg_implem_score_count","demob_implem_count","demob_revers_count","develop_prov_count","develop_implem_count","develop_revers_count","pop_total","natresrents_pGDP"
"","2020",1646,4,"Juba Agreement","309","Sudan: Government","112, 1162","Government of Sudan, SRF",2020-08-31,NA,"",1,0,1,1,2,0,0,0,0,0,0,0,"",0,1173,1971-07-22,2023-11-17,2023-11-17,19111,1,1,3,"","",24,1,1,1,NA,NA,0.554378840189221,-0.258131180095242,-0.50617360575095,1.05198763745786,NA,-0.348455537336411,0.620495879044493,0.630556684418672,0.849960914321609,0.848139044338824,-0.385566901802204,0.540785763123892,0.597328066950225,0.52531459046542,-0.464929293527432,3.17805383034795,-0.589906998881683,-13.8155105579643,-13.8155105579643,0.0506813627805568,NA,-13.8155105579643,-13.8155105579643,-0.477236315706035,-0.461152223702859,-0.16256491370608,-0.164710689250727,-0.614732080184426,-0.515288790643815,-0.643757975916957,-13.8155105579643,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"1","2018",1624,3,"Nationwide Ceasefire Agreement (LDU and NMSP)","224","Myanmar (Burma): Mon","144, 190","Government of Myanmar (Burma), NMSP",2018-02-13,NA,"",0,0,0,0,2,0,0,0,0,0,0,0," ",0,2103,1948-12-31,2023-11-17,2023-11-17,27349,1,0,3,"Myanmar ","MYA",0,0,1,1,NA,NA,-0.623808393731776,-0.22983801113558,-0.515579180398762,0.940891804303829,NA,-0.193815505974098,0.159646750640305,-0.0509715789178018,-0.32365020168128,0.526122767643274,-0.316208780188064,-0.662014939324364,-0.0134468446298657,0.0926594742317894,0.707501098846092,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-0.0609271254932405,NA,-13.8155105579643,-13.8155105579643,-1.8347917130488,-13.8155105579643,-13.8155105579643,-0.642220694916276,-13.8155105579643,-13.8155105579643,-2.37882407317562,-0.346016096326597,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"AFG","1992",1565,3,"Peshawar Accord","333","Afghanistan: Government","130, 296, 299, 294, 293, 297, 300","Government of Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Harakat-i Inqilab-i Islami-yi Afghanistan , Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Hizb-i Wahdat",1992-04-24,NA,"",0,0,0,0,2,0,0,0,0,0,0,0,"0",0,11529,1978-04-27,2023-11-17,2023-11-17,16640,1,1,3,"Afghanistan","AFG",0,0,1,0,"Afghanistan",700,8.05942236248069,-0.257624427823084,-0.216294496639972,-0.545870743122866,-0.540383668443797,-0.410311549881336,-1.29596208175829,-1.03608970501325,-1.16624279778592,-0.995404139743198,1.15315587030408,-0.544945891468189,-0.973235881099289,-1.30624507230458,-1.63735968590096,-13.8155105579643,2.0868418867643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.142502418883827,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12057433,NA
"AFG","1993",1128,3,"Afghan Peace Accord and Annex on the Division of Powers (""Islamabad accord"")","333","Afghanistan: Government","300, 130, 130, 299, 300","Hizb-i Wahdat, Government of Afghanistan, Government of Afghanistan, Hizb-i Islami-yi Afghanistan, Hizb-i Wahdat",1993-03-07,1993-05-12,"True",0,0,1,0,2,1,0,0,0,0,0,0,"0",1,66,1978-04-27,2023-11-17,2023-11-17,16640,1,1,3,"Afghanistan","AFG",1,1,1,0,"Afghanistan",700,5.81275434656882,-0.136374815622614,-0.356070255417852,-0.509228916136236,-0.503767291602075,-0.255671518519023,-1.30720230440229,-1.09804681986202,-1.20235390904755,-1.17251309192575,1.06838483277569,-0.401770878674737,-0.694975348499339,-2.41144102581438,-1.63735968590096,0,1.76005452850557,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.0661480059489408,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,1,1,0,0,0,-0.792627667841263,0.290616398249255,0.11722215235181,-0.225493012400956,0.345320234114759,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14003760,NA
"AFG","1993",1132,3,"Jalalabad accord","333","Afghanistan: Government","130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",1993-05-20,1994-01-01,"True",0,0,0,0,2,0,0,0,0,0,0,0,"0",1,226,1978-04-27,2023-11-17,2023-11-17,16640,1,1,3,"Afghanistan","AFG",2,1,1,0,"Afghanistan",700,5.81275434656882,-0.257624427823084,-0.356070255417852,-0.509228916136236,-0.503767291602075,-0.0701034808842483,-1.30720230440229,-1.09804681986202,-1.20235390904755,-1.17251309192575,1.06838483277569,-0.395394449092993,-0.807078404788388,-2.41144102581438,-1.93046728399434,0.693147180559945,1.76005452850557,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.0661480059489408,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14003760,NA
"AFG","1996",1131,3,"Mahipar agreement","333","Afghanistan: Government","130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",1996-05-24,1996-09-28,"True",0,0,0,0,2,0,0,0,0,0,0,0," ",1,127,1978-04-27,2023-11-17,2023-11-17,16640,1,1,3,"Afghanistan","AFG",3,1,1,0,"Afghanistan",700,4.47659340866768,-0.136374815622614,-0.422976612742089,-0.639703559334311,-0.63415131162851,-0.410311549881336,-1.40836430819834,-1.1042425313469,-1.31670576137603,-1.23691634726486,0.832053455423805,-0.884176335973115,-0.885982329156565,-1.07299672957295,-1.93046728399434,1.09861228866811,1.49886235732532,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-0.183858590917369,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17106595,NA
"AFG","2016",1488,3,"Kabul Agreement","333","Afghanistan: Government","130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",2016-09-22,NA,"",0,0,0,0,2,0,0,0,0,0,0,0,"5, 8",0,2612,1978-04-27,2023-11-17,2023-11-17,16640,1,1,3,"Afghanistan","AFG",4,1,1,1,"Afghanistan",700,4.14693794086397,-0.189998637031018,-0.217572291810559,4.00623532144108,4.00856066078905,-0.348455537336411,0.159646750640305,0.0481598048402307,0.434683134812895,0.0994512010216713,-0.449787384778259,-0.914215074456918,-0.64250336959463,-0.62724711952785,-0.171821695434051,1.38629436111989,1.42237021632564,-13.8155105579643,-13.8155105579643,1.38785197776527,1.38843223942592,-13.8155105579643,-13.8155105579643,-1.8347917130488,-3.03323053031057,-0.833137939041855,-2.30808819711685,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,0,1,0,0,0,-1.24918902638004,0.555532370209678,0.154561905223017,0.146825397568725,-0.256867572377515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34636207,0.617409905
"AGO","1989",1021,4,"The Gbadolite declaration","327","Angola: Government","99, 567","Government of Angola, UNITA",1989-06-22,1989-08-24,"True",0,0,1,0,1,1,0,0,0,0,0,0,"0",1,63,1975-11-11,2023-11-17,2023-11-17,17538,1,1,4,"Angola","ANG",0,0,0,0,"Angola",540,0.154229412308186,-0.285610583279717,-0.452441066087394,-0.560196630560889,-0.554699605616202,-0.410311549881336,-1.40836430819834,-0.986524013134234,-1.22642798322196,-1.13226105733881,1.63352508296497,-0.575049363446875,-0.694975348499339,-1.25120665925743,-1.05114448971419,-13.8155105579643,-1.86931409474349,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.490740307291554,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0,1,0,1,0,0,-0.792627667841263,0.290616398249255,0.11722215235181,-0.225493012400956,0.345320234114759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11439498,22.71677829
"AGO","1991",1022,4,"The Bicesse Agreement","327","Angola: Government","99, 567","Government of Angola, UNITA",1991-05-31,1992-10-01,"True",1,0,1,1,1,1,0,1,1,1,1,0,"1, 6",1,489,1975-11-11,2023-11-17,2023-11-17,17538,1,1,4,"Angola","ANG",1,1,1,0,"Angola",540,0.102613845014572,-0.231631897762529,-0.461846640735207,-0.431623871291938,-0.426216148536135,-0.410311549881336,-1.35778330630031,-0.924566898285463,-1.19031687196034,-1.09200902275186,1.62838744432689,0.631319155160755,0.223284337288395,-0.190698536993243,-1.93046728399434,0,-2.27678241368678,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.487590227181497,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-0.459943751663121,-1.49930926460955,-13.8155105579643,-13.8155105579643,0,3,0,1,0,1,2.11488691401851,-1.94051599619352,0.829297424432305,-0.079991936643424,-0.11169941190523,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12228691,17.96798031
"AGO","1994",1023,4,"The Lusaka Protocol","327","Angola: Government","7052, 99, 567","United Nations, Government of Angola, UNITA",1994-11-20,1998-12-01,"True",1,1,1,1,1,1,0,1,1,0,1,0,"1, 4, 6, 9",1,1472,1975-11-11,2023-11-17,2023-11-17,17538,1,1,4,"Angola","ANG",2,1,1,0,"Angola",540,-0.086395211710637,-0.244444530788837,-0.463540345706417,-0.162830869854619,-0.157609841415105,1.56908085155626,-0.936274957150143,-0.788261245618169,-1.03383538982662,-0.971252918991032,1.62581862500785,0.214203596632805,0.223284337288395,-0.08375278231732,-0.758036891620813,0.693147180559945,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,0.450490003051832,0.486011458168178,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-1.54082833010663,-1.49930926460955,-13.8155105579643,-13.8155105579643,0,3,0,1,0,1,2.11488691401851,-1.94051599619352,0.829297424432305,-0.079991936643424,-0.11169941190523,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,18,1,1.851852,0,0,0,0,0,18,1,1.851852,0,0,0,0,0,13462031,43.63651301
