year,ccode,corruption_percentile,ROL_percentile,ROL_estimate,voiceaccount_sources
1996,AFG,4.301075459,1.507537723,-1.788075447,4
1996,ALB,19.35483932,28.64321518,-0.6844818,5
1996,DZA,33.33333206,12.56281376,-1.218194842,6
1996,ASM,,,,
1996,AND,87.09677124,86.43215942,1.158362508,3
1996,AGO,9.677419662,3.5175879,-1.630469322,6
1996,AIA,,,,
1996,ATG,80.10752869,82.91457367,1.050844908,3
1996,ARG,53.76343918,54.27135849,0.075552642,8
1996,ARM,38.17204285,37.68844223,-0.469098508,4
1996,ABW,,,,
1996,AUS,93.54838562,96.48241425,1.713399053,7
1996,AUT,92.47312164,97.48743439,1.808153033,7
1996,AZE,2.688172102,13.06532669,-1.201161504,5
1996,BHS,83.87096405,85.92964935,1.146361232,4
1996,BHR,63.97849274,50.75376892,-0.010116266,5
1996,BGD,17.74193573,20.10050201,-0.934023738,6
1996,BRB,90.86021423,82.4120636,1.046772957,4
1996,BLR,42.47311783,24.12060356,-0.798983991,4
1996,BEL,88.70967865,89.94974518,1.366946697,7
1996,BLZ,56.45161438,54.77386856,0.084681548,3
1996,BEN,34.94623566,53.26633072,0.052315507,4
1996,BMU,87.09677124,87.43718719,1.210201263,1
1996,BTN,81.18279266,49.74874496,-0.031503625,4
1996,BOL,25.2688179,42.71356964,-0.261528313,7
1996,BIH,48.92473221,43.21607971,-0.241686642,4
1996,BWA,77.4193573,66.83416748,0.584521055,6
1996,BRA,56.98924637,44.22110367,-0.223502204,8
1996,BRN,71.50537872,77.38693237,0.816034913,4
1996,BGR,44.62365723,39.69849396,-0.344958007,6
1996,BFA,60.21505356,20.6030159,-0.933221638,5
1996,BDI,30.64516068,7.537688255,-1.416120291,4
1996,CPV,83.33333588,81.9095459,1.044188142,3
1996,KHM,16.12903214,13.56783962,-1.194368839,5
1996,CMR,3.763440847,7.0351758,-1.441894889,6
1996,CAN,96.23655701,94.9748764,1.647254705,7
1996,CYM,87.09677124,90.95477295,1.459768295,1
1996,CAF,11.2903223,15.57788944,-1.152381301,4
1996,TCD,3.225806475,11.55778885,-1.256111383,4
1996,CHL,90.32257843,85.42713928,1.113738179,8
1996,CHN,48.38709641,33.66834259,-0.545589983,7
1996,COL,36.55913925,25.6281414,-0.75183779,8
1996,COM,16.66666603,21.60803986,-0.878604293,4
1996,COD,0,1.005025148,-1.87656343,4
1996,COG,23.11828041,17.58794022,-1.04381001,5
1996,COK,,,,
1996,CRI,75.26881409,68.34170532,0.618176877,7
1996,CIV,49.4623642,25.12562752,-0.78543514,6
1996,HRV,32.79570007,31.15577888,-0.634232163,5
1996,CUB,63.44086075,16.08040237,-1.136810899,6
1996,CYP,87.63440704,78.39196014,0.857321024,6
1996,CZE,74.73118591,79.89949799,0.915322721,7
1996,DNK,100,97.98995209,1.820808649,7
1996,DJI,29.03225899,18.59296417,-0.971613765,4
1996,DMA,80.10752869,77.88945007,0.84241569,3
1996,DOM,41.39785004,34.67336655,-0.522590637,6
1996,ECU,30.10752678,38.19095612,-0.449707776,7
1996,EGY,38.70967865,51.75879288,0.001262441,6
1996,SLV,21.50537682,22.11055183,-0.870225966,7
1996,GNQ,6.451612949,10.05025101,-1.283217788,5
1996,ERI,72.04301453,29.64824104,-0.655131698,4
1996,EST,69.89247131,66.33165741,0.574426711,5
1996,SWZ,58.60214996,37.18592834,-0.474024802,4
1996,ETH,18.81720352,19.09547806,-0.965788543,6
1996,FJI,73.65591431,61.80904388,0.323474795,4
1996,FIN,99.4623642,98.99497223,1.907921553,7
1996,FRA,84.94623566,91.95980072,1.483683348,7
1996,GUF,80.10752869,81.40703583,0.96063441,1
1996,GAB,13.97849464,30.65326691,-0.65305227,6
1996,GMB,43.54838562,52.26130676,0.0169813,5
1996,GEO,1.075268865,11.05527592,-1.25632596,4
1996,DEU,94.08602142,93.96984863,1.609529257,7
1996,GHA,46.23656082,43.7185936,-0.23357825,6
1996,GRC,64.51612854,83.41708374,1.05352366,7
1996,GRL,,,,
1996,GRD,80.10752869,62.81407166,0.425557196,3
1996,GUM,,,,
1996,GTM,23.65591431,16.58291435,-1.126488209,7
1996,GIN,18.27956963,6.532663345,-1.447080135,5
1996,GNB,8.064516068,2.512562752,-1.67290616,5
1996,GUY,52.68817139,44.72361755,-0.203850329,5
1996,HTI,9.139784813,8.040201187,-1.387390733,5
1996,HND,14.51612949,21.10552788,-0.929349244,7
1996,HKG,89.78494263,69.84924316,0.750565767,5
1996,HUN,74.19355011,79.39698792,0.910500646,7
1996,ISL,93.01074982,93.46733856,1.60150218,6
1996,IND,43.01075363,61.30653381,0.313456208,7
1996,IDN,22.04301071,36.18090439,-0.48987031,7
1996,IRN,37.63440704,19.59799004,-0.94033891,6
1996,IRQ,0.537634432,5.025125504,-1.563011527,6
1996,IRL,91.93548584,92.96482086,1.501040101,7
1996,ISR,88.17204285,88.44220734,1.278926015,7
1996,ITA,67.20429993,84.42211151,1.056424022,7
1996,JAM,61.82795715,40.20100403,-0.335017145,6
1996,JPN,84.40859985,89.44723511,1.347828865,7
1996,JEY,,,,
1996,JOR,55.37634277,60.80401993,0.276932895,6
1996,KAZ,12.36559105,14.0703516,-1.186537743,5
1996,KEN,10.75268841,18.09045219,-1.021580696,6
1996,KIR,,76.8844223,0.809140563,2
1996,PRK,4.838709831,15.07537651,-1.154060125,5
1996,KOR,65.59140015,71.35678101,0.798747361,7
1996,XKX,,,,1
1996,KWT,70.43010712,67.33668518,0.598828971,6
1996,KGZ,17.20430183,27.63819122,-0.725473285,4
1996,LAO,28.49462318,17.08542633,-1.047949672,4
1996,LVA,50,56.78392029,0.133667782,5
1996,LBN,31.18279648,42.21105576,-0.282953978,5
1996,LSO,59.67741776,55.77889633,0.098356642,4
1996,LBR,2.150537729,0.502512574,-1.927978277,5
1996,LBY,20.43010712,14.57286453,-1.183470845,6
1996,LIE,87.09677124,91.45728302,1.467703342,3
1996,LTU,68.27957153,63.31658173,0.449879706,5
1996,LUX,94.62365723,95.97989655,1.709999084,5
1996,MAC,69.35483551,58.7939682,0.211933628,1
1996,MDG,44.08602142,38.69346619,-0.403521746,5
1996,MWI,47.31182861,39.19598007,-0.376664609,6
1996,MYS,66.12903595,63.81909561,0.521090984,7
1996,MDV,46.77419281,52.76382065,0.01748983,4
1996,MLI,25.8064518,41.70854187,-0.296910822,5
1996,MLT,71.50537872,83.91960144,1.053969502,4
1996,MHL,,45.22613144,-0.202153459,2
1996,MTQ,80.10752869,87.43718719,1.210201263,1
1996,MRT,34.40860367,35.6783905,-0.503623307,4
1996,MUS,58.06451797,78.89447021,0.895846069,4
1996,MEX,36.02150726,27.13567924,-0.726646364,8
1996,FSM,,76.8844223,0.809140563,2
1996,MDA,39.78494644,47.73869324,-0.121130094,5
1996,MCO,,76.8844223,0.809140563,2
1996,MNG,60.75268936,58.29145813,0.201410368,5
1996,MNE,,,,
1996,MAR,53.22580719,59.29648209,0.221231312,6
1996,MOZ,40.86021423,23.61808968,-0.805689931,6
1996,MMR,1.612903237,4.020100594,-1.580613971,6
1996,NAM,76.8817215,59.79899597,0.251412272,6
1996,NRU,,76.8844223,0.809140563,2
1996,NPL,31.72043037,51.25628281,-0.006175261,4
1996,NLD,96.77419281,95.47738647,1.695256948,7
1996,ANT,,,,
1996,NZL,97.84946442,98.49246216,1.858393788,7
1996,NIC,33.87096786,35.17588043,-0.515926838,7
1996,NER,20.96774101,30.15075302,-0.655014396,5
1996,NGA,8.602150917,9.547739029,-1.289722919,6
1996,NIU,,,,
1996,MKD,32.25806427,40.70351791,-0.307622254,5
1996,NOR,98.38710022,99.49748993,1.923315287,7
1996,OMN,67.74193573,65.32662964,0.550159752,6
1996,PAK,7.526881695,31.65829086,-0.625289619,6
1996,PLW,,76.8844223,0.809140563,2
1996,PAN,50.5376358,46.73366928,-0.166979954,7
1996,PNG,40.32258224,32.16080475,-0.616937637,6
1996,PRY,10.21505356,29.14572906,-0.663562596,7
1996,PER,41.93548203,28.1407032,-0.696724594,7
1996,PHL,45.69892502,53.7688446,0.074511446,7
1996,POL,75.80644989,70.85427094,0.767495036,7
1996,PRT,89.24731445,88.94472504,1.286294818,7
1996,PRI,69.35483551,81.40703583,0.96063441,2
